country,x,y
Antigua And Barbuda, 179, 13
Aruba, 45, -76
The Bahamas, -39, 140
Barbados, 233, -64
Belize, -270, 25
British Virgin Islands, 140, 38
Cayman Islands, -134, 55
Cuba, -86, 80
Curacao, 73, -81
Dominica, 198, -26
Dominican Republic, 48, 35
Grenada, 195, -86
Guadeloupe, 196, -9
Guyana, 250, -168
Haiti, 7, 44
Jamaica, -77, 24
Martinique, 206, -39
Montserrat, 182, -1
Puerto Rico, 107, 24
Saint Lucia, 205, -53
Saint Kitts And Nevis, 167, 7
Saint Vincent And The Grenadines, 199, -68
Trinidad And Tobago, 210, -103
Turks And Caicos, 19, 90
U.S. Virgin Islands, 129, 18
St Maarten, 164, 24
