Title;Author;Rating
The Lover's Dictionary;David Levithan;4
The Bermudez Triangle;Maureen Johnson;4
Let It Snow: Three Holiday Romances;John Green;4
Feed;M.T. Anderson;3
Zombicorns;John Green;4
The Unforgiving Minute: A Soldier's Education;Craig M. Mullaney;3
Looking for Alaska;John Green;5
An Abundance of Katherines;John Green;4
Paper Towns;John Green;4
Will Grayson, Will Grayson;John Green;5
Anna and the French Kiss (Anna and the French Kiss, #1);Stephanie Perkins;5
The Alchemist;Paulo Coelho;2
13 Little Blue Envelopes (Little Blue Envelope, #1);Maureen Johnson;4
Harry Potter and the Sorcerer's Stone;J.K. Rowling;0
Harry Potter and the Chamber of Secrets (Harry Potter, #2);J.K. Rowling;0
Ship Breaker (Ship Breaker, #1);Paolo Bacigalupi;3
Delirium (Delirium, #1);Lauren Oliver;5
Matched (Matched, #1);Ally Condie;4
An Off Year;Claire Zulkey;4
The Hunger Games (The Hunger Games, #1);Suzanne Collins;5
Catching Fire (The Hunger Games, #2);Suzanne Collins;5
Mockingjay (The Hunger Games, #3);Suzanne Collins;5
The Disreputable History of Frankie Landau-Banks;E. Lockhart;4
Perfect Chemistry (Perfect Chemistry, #1);Simone Elkeles;4
Forever...;Judy Blume;3
Rules of Attraction (Perfect Chemistry #2);Simone Elkeles;4
The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1);E. Lockhart;4
Pretty Face;Mary Hogan;3
The Last Little Blue Envelope (Little Blue Envelope, #2);Maureen Johnson;4
The Earth, My Butt, and Other Big Round Things (Virginia Shreves, #1);Carolyn Mackler;4
Divergent (Divergent, #1);Veronica Roth;0
What Happened to Goodbye;Sarah Dessen;4
Anatomy of a Boyfriend (Anatomy #1);Daria Snadowsky;3
Amy & Roger's Epic Detour;Morgan Matson;4
The DUFF: Designated Ugly Fat Friend (Hamilton High, #1);Kody Keplinger;5
Perfect You;Elizabeth Scott;4
Something, Maybe;Elizabeth Scott;4
Bloom;Elizabeth Scott;4
The Unwritten Rule;Elizabeth Scott;4
Paranormalcy (Paranormalcy, #1);Kiersten White;4
Two-Way Street;Lauren Barnholdt;4
That Summer;Sarah Dessen;4
Someone Like You;Sarah Dessen;4
Keeping the Moon;Sarah Dessen;4
Dreamland;Sarah Dessen;4
This Lullaby;Sarah Dessen;5
The Truth About Forever;Sarah Dessen;5
Just Listen;Sarah Dessen;5
Lock and Key;Sarah Dessen;4
Along for the Ride;Sarah Dessen;4
Thirteen Reasons Why;Jay Asher;0
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3);J.K. Rowling;0
Harry Potter and the Goblet of Fire (Harry Potter, #4);J.K. Rowling;0
Harry Potter and the Order of the Phoenix (Harry Potter, #5);J.K. Rowling;0
Harry Potter and the Half-Blood Prince (Harry Potter, #6);J.K. Rowling;0
Harry Potter and the Deathly Hallows (Harry Potter, #7);J.K. Rowling;0
Sloppy Firsts (Jessica Darling, #1);Megan McCafferty;5
Second Helpings (Jessica Darling, #2);Megan McCafferty;5
Fourth Comings (Jessica Darling, #4);Megan McCafferty;4
Charmed Thirds (Jessica Darling, #3);Megan McCafferty;4
Perfect Fifths (Jessica Darling, #5);Megan McCafferty;5
Forbidden;Tabitha Suzuma;5
City of Bones (The Mortal Instruments, #1);Cassandra Clare;5
City of Ashes (The Mortal Instruments, #2);Cassandra Clare;4
City of Glass (The Mortal Instruments, #3);Cassandra Clare;5
Clockwork Angel (The Infernal Devices, #1);Cassandra Clare;4
City of Fallen Angels (The Mortal Instruments, #4);Cassandra Clare;4
White Cat (Curse Workers, #1);Holly Black;3
Red Glove (Curse Workers, #2);Holly Black;4
Across the Universe (Across the Universe, #1);Beth Revis;3
Daimon (Covenant, #0.5);Jennifer L. Armentrout;3
Bumped (Bumped, #1);Megan McCafferty;4
Supernaturally (Paranormalcy, #2);Kiersten White;4
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch;Terry Pratchett;3
A Great and Terrible Beauty (Gemma Doyle, #1);Libba Bray;4
Twenty Boy Summer;Sarah Ockler;3
Rebel Angels (Gemma Doyle, #2);Libba Bray;4
The Sweet Far Thing (Gemma Doyle, #3);Libba Bray;4
Nightshade (Nightshade, #1);Andrea Cremer;4
Wolfsbane (Nightshade, #2);Andrea Cremer;4
"Shadow Days (Nightshade #0.5; Nightshade World #3.5)";Andrea Cremer;4
Ten Things We Did (and Probably Shouldn't Have);Sarah Mlynowski;5
Love Story;Jennifer Echols;3
Chain Reaction (Perfect Chemistry, #3);Simone Elkeles;4
Invincible Summer;Hannah Moskowitz;4
Vampire Academy (Vampire Academy, #1);Richelle Mead;4
Frostbite (Vampire Academy, #2);Richelle Mead;4
Shadow Kiss (Vampire Academy, #3);Richelle Mead;5
Blood Promise (Vampire Academy, #4);Richelle Mead;4
Spirit Bound (Vampire Academy, #5);Richelle Mead;4
Between Here and Forever;Elizabeth Scott;3
Last Sacrifice (Vampire Academy, #6);Richelle Mead;5
Epic Fail;Claire LaZebnik;3
Rooftops of Tehran;Mahbod Seraji;5
Midnight Sun [2008 Draft];Stephenie Meyer;4
L.A. Candy (L.A. Candy, #1);Lauren Conrad;3
Sweet Little Lies (L.A. Candy, #2);Lauren Conrad;4
Sugar and Spice (L.A. Candy, #3);Lauren Conrad;4
The Awakening / The Struggle (The Vampire Diaries, #1-2);L.J. Smith;4
Blood Red Road (Dust Lands, #1);Moira Young;4
Twilight: The Graphic Novel, Vol. 1 (Twilight: The Graphic Novel, #1);Young Kim;4
The Name of the Star (Shades of London, #1);Maureen Johnson;5
Percy Jackson and the Lightning Thief (Percy Jackson and the Olympians, #1);Rick Riordan;4
The Unbecoming of Mara Dyer (Mara Dyer, #1);Michelle Hodkin;3
The Sea of Monsters (Percy Jackson and the Olympians, #2);Rick Riordan;4
The Titan's Curse (Percy Jackson and the Olympians, #3);Rick Riordan;4
Twilight (The Twilight Saga, #1);Stephenie Meyer;4
New Moon (Twilight, #2);Stephenie Meyer;3
Eclipse (The Twilight Saga, #3);Stephenie Meyer;3
Girls on Film (A-List, #2);Zoey Dean;3
The A-List (A-List, #1);Zoey Dean;3
Blonde Ambition (A-List, #3);Zoey Dean;3
Tall Cool One (A-List, #4);Zoey Dean;3
Back in Black (A-List, #5);Zoey Dean;3
Some Like It Hot (A-List, #6);Zoey Dean;3
Shatter Me (Shatter Me, #1);Tahereh Mafi;5
American Beauty (A-List, #7);Zoey Dean;3
Heart of Glass (A-List, #8);Zoey Dean;3
Beautiful Stranger (A-List, #9);Zoey Dean;3
California Dreaming (A-List, #10);Zoey Dean;3
Lola and the Boy Next Door (Anna and the French Kiss, #2);Stephanie Perkins;4
Rats Saw God;Rob Thomas;0
How to Teach Filthy Rich Girls;Zoey Dean;4
Naomi and Ely's No Kiss List;Rachel Cohn;4
Half-Blood (Covenant, #1);Jennifer L. Armentrout;3
The Battle of the Labyrinth (Percy Jackson and the Olympians, #4);Rick Riordan;4
The Last Olympian (Percy Jackson and the Olympians, #5);Rick Riordan;5
Twilight: The Graphic Novel, Vol. 2  (Twilight: The Graphic Novel, #2);Young Kim;4
Fury (Fury, #1);Elizabeth  Miles;5
Clockwork Prince (The Infernal Devices, #2);Cassandra Clare;5
The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #2);C.S. Lewis;3
Breaking Dawn (The Twilight Saga, #4);Stephenie Meyer;2
The Lost Hero (The Heroes of Olympus, #1);Rick Riordan;4
The Boy Book: A Study of Habits and Behaviors, Plus Techniques for Taming Them (Ruby Oliver, #2);E. Lockhart;4
The Son of Neptune (The Heroes of Olympus, #2);Rick Riordan;5
Pretty Little Liars (Pretty Little Liars, #1);Sara Shepard;4
Obsidian (Lux, #1);Jennifer L. Armentrout;1
I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1);Ally Carter;4
Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life;Bryan Lee O'Malley;5
Wither (The Chemical Garden, #1);Lauren DeStefano;4
Bloodrose (Nightshade #3);Andrea Cremer;4
Before I Fall;Lauren Oliver;4
Legend (Legend, #1);Marie Lu;5
Beautiful Creatures (Caster Chronicles, #1);Kami Garcia;4
The Fault in Our Stars;John Green;5
Deadly Cool (Deadly Cool, #1);Gemma Halliday;4
Hush, Hush (Hush, Hush, #1);Becca Fitzpatrick;1
Dead Until Dark (Sookie Stackhouse, #1);Charlaine Harris;4
Unearthly (Unearthly, #1);Cynthia Hand;5
The Treasure Map of Boys: Noel, Jackson, Finn, Hutch, Gideon—and me, Ruby Oliver  (Ruby Oliver, #3);E. Lockhart;4
Real Live Boyfriends: Yes. Boyfriends, plural. If my life weren't complicated, I wouldn't be Ruby Oliver (Ruby Oliver, #4);E. Lockhart;4
Heist Society (Heist Society, #1);Ally Carter;4
Percy Jackson: The Demigod Files (Percy Jackson and the Olympians);Rick Riordan;4
Nick & Norah's Infinite Playlist;Rachel Cohn;4
Living Dead in Dallas (Sookie Stackhouse, #2);Charlaine Harris;4
Club Dead (Sookie Stackhouse, #3);Charlaine Harris;4
Dead to the World (Sookie Stackhouse, #4);Charlaine Harris;5
Dead as a Doornail (Sookie Stackhouse #5);Charlaine Harris;4
Definitely Dead (Sookie Stackhouse #6);Charlaine Harris;4
All Together Dead (Sookie Stackhouse #7);Charlaine Harris;4
From Dead to Worse (Sookie Stackhouse, #8);Charlaine Harris;4
